model,order,mean,ci95,seeds,episodes_per_profile_per_seed
FSM,0,1.000000,0.000000,2,4
FSM,1,1.000000,0.000000,2,4
FSM,2,1.000000,0.000000,2,4
FSM,3,1.000000,0.000000,2,4
Behavior Tree,0,1.000000,0.000000,2,4
Behavior Tree,1,1.000000,0.000000,2,4
Behavior Tree,2,1.000000,0.000000,2,4
Behavior Tree,3,1.000000,0.000000,2,4
Stochastic BT,0,0.532004,0.014134,2,4
Stochastic BT,1,0.447006,0.030456,2,4
Stochastic BT,2,0.428514,0.070623,2,4
Stochastic BT,3,0.403030,0.071273,2,4
Utility AI,0,1.000000,0.000000,2,4
Utility AI,1,1.000000,0.000000,2,4
Utility AI,2,1.000000,0.000000,2,4
Utility AI,3,1.000000,0.000000,2,4
Softmax Utility AI,0,0.736479,0.023151,2,4
Softmax Utility AI,1,0.653627,0.004395,2,4
Softmax Utility AI,2,0.618479,0.045263,2,4
Softmax Utility AI,3,0.696476,0.073116,2,4
MarkovBelief,0,0.385646,0.024133,2,4
MarkovBelief,1,0.335221,0.024449,2,4
MarkovBelief,2,0.365999,0.079271,2,4
MarkovBelief,3,0.306250,0.175583,2,4
QLBS,0,0.371505,0.031350,2,4
QLBS,1,0.269386,0.017269,2,4
QLBS,2,0.305817,0.122235,2,4
QLBS,3,0.107143,0.210000,2,4
