scenario,plain_reaction,plain_k2,rerand_reaction,rerand_k2,rerand_reduces_k2
0,0.504828,0.316890,0.487576,0.222534,1
1,0.528333,0.253310,0.516520,0.242764,1
2,0.521503,0.273061,0.498798,0.227390,1
3,0.554428,0.298013,0.522701,0.228241,1
4,0.549426,0.328920,0.527581,0.251423,1
5,0.582386,0.349044,0.554715,0.266686,1
6,0.550002,0.318820,0.530376,0.256663,1
7,0.523222,0.317028,0.507508,0.234674,1
8,0.515016,0.269666,0.499704,0.243481,1
9,0.570219,0.334504,0.536324,0.250424,1
10,0.541209,0.341568,0.516648,0.277497,1
11,0.527773,0.277067,0.503889,0.185742,1
12,0.511037,0.295629,0.505099,0.267866,1
13,0.563593,0.359407,0.540942,0.248074,1
14,0.509281,0.341241,0.496880,0.303261,1
15,0.584674,0.340575,0.544685,0.248250,1
16,0.556633,0.319139,0.512986,0.281017,1
17,0.531294,0.273028,0.511775,0.227776,1
18,0.513093,0.361547,0.510175,0.264150,1
19,0.519172,0.326253,0.495366,0.257105,1
20,0.562207,0.291481,0.516674,0.226649,1
21,0.530655,0.365050,0.504087,0.289421,1
22,0.523626,0.281138,0.492183,0.222267,1
23,0.501305,0.313604,0.493245,0.273298,1
24,0.493242,0.383755,0.484332,0.319997,1
25,0.505794,0.319170,0.474713,0.246073,1
26,0.543688,0.339979,0.508387,0.276077,1
27,0.551467,0.358785,0.522651,0.308399,1
28,0.523637,0.296081,0.492053,0.227092,1
29,0.521414,0.350439,0.517713,0.258498,1
